"season","date","score","team","spi","games","manexp","mangf","gfor","gaga","xgfor","xgaga","xgfor1","xgaga1","locadj","gf.ga"
2018,2019-04-28,1,"Genoa",0.6137,224,0.498881431767338,1.16517857142857,1,2,1.13354166666667,1.80916666666667,1.1771875,1.738125,0.796064400715564,0.484848484848485
2018,2019-04-28,0,"Milan",0.7412,86,0.763736263736264,0.976744186046512,1.25,0.9375,1.25270833333333,1.18479166666667,1.255625,1.285,0.795352993744415,1.05263157894737
2018,2019-04-29,0,"Udinese",0.5762,68,0.7875,1.42647058823529,0.75,1.6875,0.890625,1.76520833333333,0.9584375,1.7684375,0.794642857142857,0.4
2018,2019-04-29,1,"Sassuolo",0.6185,73,0.640394088669951,1.20547945205479,1,1.3125,1.01541666666667,1.47729166666667,1.03375,1.5278125,0.795089285714286,0.615384615384615
2018,2019-05-03,1,"Torino",0.6933,276,0.463035019455253,1.17753623188406,1.05882352941176,0.764705882352941,1.07686274509804,1.11372549019608,1.065,1.26911764705882,0.795180722891566,0.857142857142857
2018,2019-05-04,4,"SPAL",0.5906,223,0.495475113122172,1.45739910313901,1.05882352941176,1.58823529411765,1.00019607843137,1.68490196078431,0.964411764705882,1.69882352941176,0.796965640339134,0.6
2018,2019-05-04,0,"Inter Milan",0.8161,350,0.166666666666667,1.48857142857143,1.70588235294118,1.11764705882353,1.87019607843137,1.24156862745098,1.96941176470588,1.30794117647059,0.796965640339134,1.16
2018,2019-05-05,0,"Fiorentina",0.6781,132,0.319587628865979,1.43181818181818,1.29411764705882,1.41176470588235,1.32117647058824,1.40803921568627,1.34176470588235,1.39058823529412,0.796610169491525,0.814814814814815
2018,2019-05-05,1,"Roma",0.7438,449,0.334814814814815,1.26948775055679,1.29411764705882,1.23529411764706,1.4143137254902,1.39450980392157,1.45676470588235,1.45941176470588,0.796700847079804,0.846153846153846
2018,2019-05-05,3,"Atalanta",0.8196,257,0.255072463768116,1.18677042801556,2.17647058823529,1.47058823529412,1.97686274509804,1.35941176470588,1.89735294117647,1.30558823529412,0.797682709447415,1.32142857142857
2018,2019-05-05,1,"Cagliari",0.5914,296,0.548091603053435,0.932432432432432,0.647058823529412,1.82352941176471,0.983137254901961,1.79176470588235,1.14117647058824,1.79382352941176,0.797417631344613,0.333333333333333
2018,2019-05-05,3,"Sampdoria",0.6825,149,0.354978354978355,1.04697986577181,1.70588235294118,1.88235294117647,1.4143137254902,1.70333333333333,1.28264705882353,1.61352941176471,0.797687861271676,0.828571428571429
2018,2019-05-05,2,"Frosinone",0.5306,188,0.282442748091603,1.23404255319149,0.764705882352941,1.58823529411765,0.779411764705882,1.65058823529412,0.809411764705882,1.69558823529412,0.797867614393603,0.393939393939394
2018,2019-05-06,1,"Bologna",0.6577,129,0.388625592417062,1.13953488372093,0.941176470588235,1.70588235294118,1.11137254901961,1.58960784313725,1.17294117647059,1.49705882352941,0.797603195739015,0.484848484848485
2018,2019-05-11,1,"Genoa",0.6264,225,0.52928870292887,1.16444444444444,1,1.94117647058824,1.12901960784314,1.76607843137255,1.17029411764706,1.7,0.797339246119734,0.5
2018,2019-05-11,2,"Lazio",0.7452,91,0.764248704663212,1.91208791208791,1,1,1.25921568627451,1.09686274509804,1.39382352941176,1.13558823529412,0.797872340425532,0.772727272727273
2018,2019-05-11,1,"Milan",0.7307,87,0.600917431192661,0.96551724137931,1.17647058823529,1,1.22607843137255,1.20058823529412,1.25235294117647,1.27588235294118,0.798315602836879,0.952380952380952
2018,2019-05-12,3,"Udinese",0.5678,69,0.732558139534884,1.40579710144928,0.705882352941177,1.70588235294118,0.854705882352941,1.78843137254902,0.926764705882353,1.80441176470588,0.799291094373062,0.375
2018,2019-05-12,0,"Juventus",0.825,242,0.651798561151079,1.55371900826446,1.82352941176471,0.764705882352941,1.69745098039216,0.980196078431373,1.65441176470588,1.08323529411765,0.798583444001771,1.47619047619048
2018,2019-05-12,2,"Empoli",0.5439,62,0.704761904761905,1.04838709677419,0.882352941176471,2.17647058823529,1.0656862745098,1.78490196078431,1.13529411764706,1.60470588235294,0.799115044247788,0.384615384615385
2018,2019-05-12,2,"Napoli",0.8034,358,0.384879725085911,1.6536312849162,1.70588235294118,0.941176470588235,1.62549019607843,1.12607843137255,1.58882352941176,1.21441176470588,0.799646174259177,1.31818181818182
2018,2019-05-12,2,"Sassuolo",0.6337,74,0.790368271954674,1.2027027027027,1,1.23529411764706,1.02862745098039,1.42509803921569,1.05147058823529,1.49,0.799469964664311,0.62962962962963
2018,2019-05-13,1,"Parma",0.5169,81,0.614285714285714,1.07407407407407,1.23529411764706,1.76470588235294,0.952352941176471,1.89745098039216,0.78,1.93882352941176,0.798500881834215,0.636363636363636
2018,2019-05-13,0,"Chievo Verona",0.4906,215,0.620141342756184,0.934883720930233,0.647058823529412,2.11764705882353,0.869607843137255,1.8643137254902,0.977058823529412,1.77411764705882,0.797797356828194,0.289473684210526
2018,2019-05-18,1,"Cagliari",0.5884,297,0.433206106870229,0.932659932659933,0.666666666666667,1.83333333333333,0.962407407407407,1.8162962962963,1.09944444444444,1.82777777777778,0.797886393659181,0.342857142857143
2018,2019-05-18,0,"Roma",0.7384,450,0.142857142857143,1.26888888888889,1.27777777777778,1.22222222222222,1.40648148148148,1.41833333333333,1.45277777777778,1.50111111111111,0.797886393659181,0.851851851851852
2018,2019-05-18,2,"SPAL",0.6177,224,0.240677966101695,1.46875,1.22222222222222,1.5,1.08648148148148,1.62092592592593,1.01444444444444,1.64888888888889,0.797713280562885,0.709677419354839
2018,2019-05-19,0,"Sampdoria",0.6675,150,0.594594594594595,1.06,1.77777777777778,1.94444444444444,1.48222222222222,1.72796296296296,1.34361111111111,1.61527777777778,0.797713280562885,0.842105263157895
2018,2019-05-19,1,"Torino",0.7064,277,0.185294117647059,1.17689530685921,1.05555555555556,0.777777777777778,1.05814814814815,1.1412962962963,1.03833333333333,1.30361111111111,0.79675153643547,0.863636363636364
2018,2019-05-19,1,"Atalanta",0.8211,258,0.480885311871227,1.1937984496124,2.22222222222222,1.44444444444444,1.99148148148148,1.32962962962963,1.89472222222222,1.2725,0.796840719613866,1.37931034482759
2018,2019-05-19,0,"Frosinone",0.5183,189,0.305147058823529,1.23809523809524,0.833333333333333,1.61111111111111,0.799074074074074,1.67481481481481,0.800555555555556,1.71694444444444,0.796142042963612,0.428571428571429
2018,2019-05-19,1,"Inter Milan",0.8259,351,0.506329113924051,1.48433048433048,1.61111111111111,1.05555555555556,1.84388888888889,1.19296296296296,1.97638888888889,1.26583333333333,0.795185995623632,1.11538461538462
2018,2019-05-19,0,"Fiorentina",0.6726,133,0.384259259259259,1.42105263157895,1.22222222222222,1.38888888888889,1.34462962962963,1.39592592592593,1.4125,1.38333333333333,0.794838145231846,0.785714285714286
2018,2019-05-20,3,"Bologna",0.6662,130,0.406392694063927,1.13846153846154,0.944444444444444,1.72222222222222,1.11425925925926,1.58555555555556,1.17555555555556,1.48194444444444,0.795107033639144,0.485714285714286
2018,2019-05-25,2,"Napoli",0.801,359,0.265848670756646,1.65459610027855,1.72222222222222,0.944444444444444,1.65333333333333,1.15907407407407,1.61944444444444,1.26111111111111,0.794938917975567,1.34782608695652
2018,2019-05-25,0,"Chievo Verona",0.4898,216,0.467980295566502,0.930555555555556,0.611111111111111,2.11111111111111,0.82537037037037,1.88351851851852,0.928888888888889,1.81638888888889,0.794938917975567,0.275
2018,2019-05-26,1,"Sassuolo",0.6081,75,0.772036474164134,1.21333333333333,1.05555555555556,1.33333333333333,1.03333333333333,1.51388888888889,1.0275,1.58916666666667,0.794335511982571,0.633333333333333
2018,2019-05-26,2,"Udinese",0.5723,70,0.808743169398907,1.42857142857143,0.833333333333333,1.66666666666667,0.934814814814815,1.795,0.979166666666667,1.83388888888889,0.7948606271777,0.454545454545455
2018,2019-05-26,0,"Genoa",0.6471,226,0.368715083798883,1.16371681415929,1,1.94444444444444,1.13851851851852,1.75796296296296,1.18444444444444,1.68222222222222,0.7948606271777,0.5
2018,2019-05-26,1,"Empoli",0.5706,63,0.848192771084337,1.06349206349206,0.944444444444444,2.11111111111111,1.10574074074074,1.79444444444444,1.16583333333333,1.64944444444444,0.794604003481288,0.425
2018,2019-05-26,1,"Parma",0.5127,82,0.847014925373134,1.07317073170732,1.22222222222222,1.88888888888889,0.947222222222222,1.92574074074074,0.779166666666667,1.93555555555556,0.794347826086957,0.594594594594595
2018,2019-05-26,0,"Juventus",0.8189,243,0.380102040816327,1.54732510288066,1.72222222222222,0.833333333333333,1.66055555555556,0.997222222222222,1.64861111111111,1.08638888888889,0.793657688966116,1.34782608695652
2018,2019-05-26,3,"Milan",0.7341,88,0.718849840255591,0.965909090909091,1.16666666666667,0.944444444444444,1.2212962962963,1.15796296296296,1.24861111111111,1.24111111111111,0.794270833333333,0.954545454545455
2018,2019-05-26,1,"Lazio",0.7308,92,0.752688172043011,1.91304347826087,1.05555555555556,1,1.30148148148148,1.12444444444444,1.42638888888889,1.17611111111111,0.793671434763762,0.826086956521739
2019,2019-08-24,4,"Napoli",0.8248,360,0.269776876267748,1.65555555555556,1.73684210526316,1.05263157894737,1.68,1.19421052631579,1.64947368421053,1.25605263157895,0.794372294372294,1.65
2019,2019-08-24,1,"Juventus",0.8986,227,0.270096463022508,1.3215859030837,1.63157894736842,0.894736842105263,1.59491228070175,1.02,1.59447368421053,1.10052631578947,0.794805194805195,1.82352941176471
2019,2019-08-25,1,"Brescia",0.5646,81,0.785714285714286,1.12345679012346,1.09122807017544,1.86959064327485,1.21270565302144,1.85603703703704,1.26207602339181,1.85842397660819,0.795238095238095,0.636521739130435
2019,2019-08-25,1,"Bologna",0.5861,131,0.367149758454106,1.15267175572519,1.05263157894737,1.78947368421053,1.19210526315789,1.63333333333333,1.23552631578947,1.51789473684211,0.795326698398962,0.588235294117647
2019,2019-08-25,3,"Genoa",0.5989,64,0.536231884057971,1.0625,0.947368421052632,1.84210526315789,1.08543859649123,1.68385964912281,1.13236842105263,1.62131578947368,0.795592048401037,0.514285714285714
